Persona,Acción,Timestamp
,entered,2025-09-12 14:16:59
,exited,2025-09-12 14:17:01
,exited,2025-09-12 14:17:03
,entered,2025-09-12 14:17:04
,entered,2025-09-12 14:17:05
,exited,2025-09-12 14:17:08
,entered,2025-09-12 14:34:30
,entered,2025-09-12 14:34:32
3,entered,2025-09-15T11:35:30.148493
32,entered,2025-09-15T11:35:30.177342
1,entered,2025-09-15T11:35:45.513180
64,entered,2025-09-15T11:36:00.349245
64,exited,2025-09-15T11:36:04.601674
