Persona,Acción,Timestamp
3,entered,2025-09-15T11:35:30.148493
32,entered,2025-09-15T11:35:30.177342
1,entered,2025-09-15T11:35:45.513180
64,entered,2025-09-15T11:36:00.349245
64,exited,2025-09-15T11:36:04.601674
